"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2025","28.200","27.800","28.325","27.605","53.21K","1.77%"
"12/23/2025","27.710","27.625","27.855","27.275","80.29K","0.08%"
"12/22/2025","27.687","28.150","28.250","27.600","79.52K","-1.68%"
"12/19/2025","28.161","28.035","28.500","27.690","117.28K","1.84%"
"12/18/2025","27.652","27.470","27.940","27.150","96.49K","1.08%"
"12/17/2025","27.357","27.005","27.575","26.995","105.79K","2.22%"
"12/16/2025","26.764","26.905","27.205","26.620","98.65K","-2.41%"
"12/15/2025","27.425","28.050","28.050","27.000","106.46K","-0.94%"
"12/12/2025","27.684","27.000","27.750","26.905","104.76K","3.28%"
"12/11/2025","26.805","27.000","27.130","26.530","90.01K","0.76%"
"12/10/2025","26.602","27.395","27.395","26.535","93.80K","-3.23%"
"12/09/2025","27.489","26.900","27.700","26.900","91.10K","2.30%"
"12/08/2025","26.871","27.100","27.800","26.715","98.17K","-1.45%"
"12/05/2025","27.266","27.215","27.455","26.800","94.99K","0.66%"
"12/04/2025","27.088","28.055","28.055","27.000","103.14K","-3.96%"
"12/03/2025","28.206","28.150","28.305","27.700","75.16K","0.56%"
"12/02/2025","28.050","28.000","28.330","27.515","109.14K","-0.63%"
"12/01/2025","28.227","28.440","28.485","27.750","96.47K","-2.05%"
"11/28/2025","28.817","29.400","29.575","28.615","76.23K","-0.70%"
"11/27/2025","29.021","29.150","29.200","28.830","44.80K","-1.18%"
"11/26/2025","29.368","29.500","29.605","29.130","86.51K","-0.06%"
"11/25/2025","29.386","29.850","29.920","28.975","108.20K","-1.21%"
"11/24/2025","29.747","29.985","30.065","29.200","107.68K","-1.49%"
"11/21/2025","30.198","30.400","30.695","30.075","114.22K","-3.08%"
"11/20/2025","31.159","31.050","31.270","30.675","73.22K","0.71%"
"11/19/2025","30.940","31.400","31.445","30.650","97.23K","-2.38%"
"11/18/2025","31.694","31.650","31.990","31.335","86.84K","0.88%"
"11/17/2025","31.418","31.510","31.665","31.170","79.22K","0.54%"
"11/14/2025","31.250","30.670","31.290","30.515","100.48K","2.60%"
"11/13/2025","30.458","30.940","31.085","30.285","78.34K","-1.54%"
"11/12/2025","30.933","31.300","31.580","30.765","80.24K","-0.54%"
"11/11/2025","31.102","31.080","31.180","30.830","64.22K","0.10%"
"11/10/2025","31.071","31.200","31.440","30.765","77.04K","-0.42%"
"11/07/2025","31.201","31.700","31.700","31.095","79.38K","-1.10%"
"11/06/2025","31.548","31.300","31.795","31.285","75.02K","-0.85%"
"11/05/2025","31.819","32.250","32.250","31.660","83.35K","-2.25%"
"11/04/2025","32.551","31.920","32.575","31.750","78.91K","2.55%"
"11/03/2025","31.741","31.600","31.885","31.485","85.69K","1.99%"
"10/31/2025","31.122","31.350","31.630","31.050","78.65K","0.24%"
"10/30/2025","31.048","31.810","31.900","30.975","36.18K","-2.58%"
"10/29/2025","31.869","31.620","31.900","31.470","61.99K","1.19%"
"10/28/2025","31.494","31.350","31.825","31.120","69.69K","0.30%"
"10/27/2025","31.400","31.825","31.895","31.170","78.00K","-1.92%"
"10/24/2025","32.016","32.000","32.320","31.830","76.07K","-1.35%"
"10/23/2025","32.454","32.250","32.885","32.130","89.77K","2.16%"
"10/22/2025","31.768","32.250","32.325","31.640","82.25K","-1.34%"
"10/21/2025","32.200","31.600","32.260","31.365","87.27K","1.45%"
"10/20/2025","31.739","31.850","32.060","31.540","62.84K","-0.24%"
"10/17/2025","31.816","32.050","32.370","31.775","87.90K","-1.74%"
"10/16/2025","32.378","32.250","32.730","32.075","105.49K","1.73%"
"10/15/2025","31.826","31.675","32.080","31.385","84.26K","0.08%"
"10/14/2025","31.801","31.245","31.880","31.110","70.00K","1.04%"
"10/13/2025","31.475","32.150","32.150","31.350","80.48K","-2.16%"
"10/10/2025","32.170","32.350","32.450","31.760","70.95K","-0.60%"
"10/09/2025","32.363","32.350","32.580","31.860","68.69K","-1.03%"
"10/08/2025","32.700","33.300","33.590","32.510","86.09K","-1.64%"
"10/07/2025","33.246","32.890","33.635","32.890","114.88K","0.39%"
"10/06/2025","33.116","32.000","33.270","31.945","128.85K","5.34%"
"10/03/2025","31.438","31.200","31.715","30.950","70.78K","-0.05%"
"10/02/2025","31.455","31.405","31.705","31.035","66.36K","0.38%"
"10/01/2025","31.335","31.450","31.580","30.735","87.19K","-0.24%"
"09/30/2025","31.411","32.440","32.695","31.350","95.37K","-2.02%"
"09/29/2025","32.060","32.420","32.430","31.945","47.32K","-1.95%"
"09/26/2025","32.697","32.500","32.975","32.375","86.03K","0.74%"
"09/25/2025","32.456","32.105","32.670","32.105","76.17K","1.73%"
"09/24/2025","31.903","32.275","32.425","31.850","90.81K","-1.12%"
"09/23/2025","32.265","31.900","32.490","31.775","71.92K","1.32%"
"09/22/2025","31.844","32.150","32.470","31.755","79.31K","-1.44%"
"09/19/2025","32.308","32.890","33.010","32.150","89.78K","-1.95%"
"09/18/2025","32.952","32.360","33.110","32.300","99.98K","1.70%"
"09/17/2025","32.401","32.455","32.790","32.315","74.60K","0.22%"
"09/16/2025","32.329","32.000","32.485","31.620","78.25K","0.54%"
"09/15/2025","32.154","32.650","32.740","31.930","83.39K","-1.56%"
"09/12/2025","32.662","32.350","32.900","32.005","87.65K","1.05%"
"09/11/2025","32.323","33.300","33.380","32.265","90.45K","-2.41%"
"09/10/2025","33.122","32.950","33.440","32.705","82.77K","0.58%"
"09/09/2025","32.931","33.350","33.350","32.110","115.94K","-0.40%"
"09/08/2025","33.064","32.100","33.195","32.060","85.30K","3.43%"
"09/05/2025","31.969","32.500","32.750","31.830","77.28K","-1.37%"
"09/04/2025","32.412","32.110","32.650","31.700","83.09K","0.93%"
"09/03/2025","32.112","31.920","32.425","31.400","91.24K","1.07%"
"09/02/2025","31.772","32.375","32.735","31.610","91.61K","-0.90%"
"09/01/2025","32.061","31.625","32.380","31.355","68.17K","1.39%"
"08/29/2025","31.622","31.890","32.000","31.350","87.42K","0.20%"
"08/28/2025","31.559","32.260","32.350","31.035","56.50K","-3.05%"
"08/27/2025","32.551","33.165","33.360","32.235","104.56K","-2.72%"
"08/26/2025","33.460","33.795","33.795","33.240","80.18K","-0.93%"
"08/25/2025","33.774","33.280","33.905","32.860","39.28K","0.60%"
"08/22/2025","33.573","33.065","33.685","33.050","94.97K","1.20%"
"08/21/2025","33.175","32.080","33.400","31.605","88.12K","3.98%"
"08/20/2025","31.906","31.300","32.300","31.015","74.47K","2.17%"
"08/19/2025","31.227","30.820","31.430","30.590","62.69K","-0.14%"
"08/18/2025","31.272","31.000","31.460","30.300","81.75K","0.78%"
"08/15/2025","31.031","32.095","32.380","30.760","81.67K","-3.45%"
"08/14/2025","32.141","32.875","32.880","31.850","74.94K","-1.41%"
"08/13/2025","32.600","32.350","32.850","32.350","56.48K","0.59%"
"08/12/2025","32.409","33.200","33.375","32.245","61.59K","-1.79%"
"08/11/2025","32.999","32.200","33.155","32.140","63.04K","1.70%"
"08/08/2025","32.446","32.865","33.435","32.110","95.32K","-1.53%"
"08/07/2025","32.951","33.010","33.255","32.775","59.08K","-0.92%"
"08/06/2025","33.257","34.245","34.295","33.110","79.46K","-3.34%"
"08/05/2025","34.406","34.140","34.485","33.765","61.01K","0.36%"
"08/04/2025","34.283","33.610","34.380","33.430","66.95K","0.92%"
"08/01/2025","33.972","35.350","35.400","33.740","76.89K","-3.70%"
"07/31/2025","35.279","35.095","35.490","34.560","69.95K","2.15%"
"07/30/2025","34.537","34.500","35.000","33.500","42.79K","1.27%"
"07/29/2025","34.103","33.010","34.300","33.005","70.77K","3.66%"
"07/28/2025","32.899","32.550","33.120","31.985","77.51K","1.23%"
"07/25/2025","32.499","32.490","32.785","31.905","75.56K","0.44%"
"07/24/2025","32.358","32.820","33.200","32.095","79.50K","-1.02%"
"07/23/2025","32.690","33.350","33.730","32.555","77.51K","-1.27%"
"07/22/2025","33.111","33.295","33.495","32.900","75.59K","-0.14%"
"07/21/2025","33.159","33.500","34.000","33.110","72.53K","-1.30%"
"07/18/2025","33.595","34.350","34.770","33.410","77.21K","-2.36%"
"07/17/2025","34.407","34.910","35.300","34.300","75.32K","-1.15%"
"07/16/2025","34.809","34.500","35.155","34.375","70.17K","1.06%"
"07/15/2025","34.445","35.200","35.350","34.195","75.96K","-2.85%"
"07/14/2025","35.454","35.600","36.320","35.020","85.21K","-0.30%"
"07/11/2025","35.561","35.000","35.700","34.735","67.32K","1.11%"
"07/10/2025","35.170","34.695","35.390","34.465","65.57K","2.52%"
"07/09/2025","34.304","34.570","34.945","34.240","63.99K","0.25%"
"07/08/2025","34.219","34.175","34.635","33.755","83.25K","1.78%"
"07/07/2025","33.621","33.400","34.150","32.900","58.69K","0.45%"
"07/04/2025","33.469","33.750","34.025","33.225","57.53K","-0.45%"
"07/03/2025","33.621","33.460","34.255","33.305","67.09K","0.09%"
"07/02/2025","33.591","33.900","34.500","33.160","69.40K","-0.30%"
"07/01/2025","33.693","33.250","33.965","32.725","78.95K","2.42%"
"06/30/2025","32.898","33.415","33.535","32.640","72.69K","-0.57%"
"06/27/2025","33.087","33.610","33.900","32.760","72.32K","-2.75%"
"06/26/2025","34.024","35.255","35.650","33.410","97.36K","-3.89%"
"06/25/2025","35.401","35.155","35.975","35.100","91.44K","-0.60%"
"06/24/2025","35.615","37.000","37.100","35.030","185.69K","-12.11%"
"06/23/2025","40.522","42.100","42.440","40.200","132.36K","-0.99%"
"06/20/2025","40.929","40.715","41.225","39.700","112.46K","-1.68%"
"06/19/2025","41.628","39.200","41.900","39.200","112.61K","7.59%"
"06/18/2025","38.693","39.320","40.420","38.530","136.44K","-1.57%"
"06/17/2025","39.309","38.175","39.735","38.055","109.77K","3.70%"
"06/16/2025","37.906","38.100","39.610","37.340","127.92K","0.03%"
"06/13/2025","37.894","38.000","38.575","36.900","164.66K","4.75%"
"06/12/2025","36.177","36.150","36.650","35.665","87.32K","0.74%"
"06/11/2025","35.913","34.845","36.000","34.845","105.89K","3.68%"
"06/10/2025","34.638","35.550","35.625","34.440","83.95K","-2.72%"
"06/09/2025","35.605","36.485","36.505","35.415","64.20K","-1.78%"
"06/06/2025","36.251","36.395","36.850","35.870","74.47K","-0.39%"
"06/05/2025","36.393","35.865","36.670","35.675","75.29K","2.08%"
"06/04/2025","35.650","36.195","36.485","35.350","92.70K","-0.55%"
"06/03/2025","35.848","34.895","36.115","34.890","68.60K","2.38%"
"06/02/2025","35.015","34.050","35.490","33.705","80.88K","2.30%"
"05/30/2025","34.228","35.155","35.440","33.825","92.87K","-2.65%"
"05/29/2025","35.158","36.990","37.005","34.800","33.02K","-4.17%"
"05/28/2025","36.687","36.665","37.125","36.350","73.04K","-0.86%"
"05/27/2025","37.006","36.960","37.935","36.435","102.00K","-0.66%"
"05/26/2025","37.253","36.890","37.355","36.595","31.77K","2.20%"
"05/23/2025","36.450","36.645","36.865","35.420","94.70K","0.26%"
"05/22/2025","36.356","36.455","37.185","36.105","61.85K","-0.72%"
"05/21/2025","36.621","37.050","37.815","36.415","78.03K","-0.97%"
"05/20/2025","36.979","35.000","37.205","34.985","96.32K","4.98%"
"05/19/2025","35.225","35.300","35.495","34.800","58.98K","0.20%"
"05/16/2025","35.156","35.705","35.930","34.730","83.16K","-0.39%"
"05/15/2025","35.294","34.830","35.610","34.455","87.71K","0.70%"
"05/14/2025","35.048","35.600","35.900","34.425","69.38K","-1.95%"
"05/13/2025","35.744","35.275","36.150","34.930","66.72K","1.00%"
"05/12/2025","35.390","34.550","36.325","34.450","98.38K","2.23%"
"05/09/2025","34.618","35.700","36.050","34.300","79.85K","-2.05%"
"05/08/2025","35.341","34.020","35.745","34.020","79.23K","2.35%"
"05/07/2025","34.531","35.000","35.500","34.075","86.08K","-0.61%"
"05/06/2025","34.743","32.930","35.140","32.930","73.13K","5.51%"
"05/05/2025","32.930","32.600","33.150","32.400","26.31K","-0.45%"
"05/02/2025","33.078","31.990","33.675","31.815","80.98K","2.89%"
"05/01/2025","32.149","32.175","32.465","31.585","51.32K","-0.52%"
"04/30/2025","32.317","31.450","32.900","31.440","73.56K","1.45%"
"04/29/2025","31.856","31.805","32.170","31.195","59.36K","-1.67%"
"04/28/2025","32.398","32.055","32.790","31.635","74.06K","-0.10%"
"04/25/2025","32.432","33.700","33.800","31.945","89.61K","-3.40%"
"04/24/2025","33.574","33.995","34.355","32.990","95.06K","-1.72%"
"04/23/2025","34.160","34.655","35.070","33.800","91.69K","-0.25%"
"04/22/2025","34.244","34.790","35.790","33.930","73.82K","-3.96%"
"04/17/2025","35.657","35.310","35.930","35.290","73.96K","0.98%"
"04/16/2025","35.312","34.020","35.655","33.780","80.69K","2.63%"
"04/15/2025","34.407","35.000","35.535","34.080","82.60K","-0.27%"
"04/14/2025","34.499","33.785","34.835","33.690","70.10K","3.10%"
"04/11/2025","33.463","32.700","34.075","32.545","84.70K","0.51%"
"04/10/2025","33.293","36.250","36.420","33.065","106.60K","-1.11%"
"04/09/2025","33.666","33.935","35.450","33.245","150.91K","-7.08%"
"04/08/2025","36.231","36.335","36.980","35.490","82.72K","-2.08%"
"04/07/2025","37.000","35.490","38.620","33.505","127.51K","1.65%"
"04/04/2025","36.401","39.005","39.520","35.150","124.69K","-7.15%"
"04/03/2025","39.203","40.500","40.500","38.400","104.79K","-4.99%"
"04/02/2025","41.263","42.400","43.095","40.840","75.56K","-2.80%"
"04/01/2025","42.450","40.745","42.700","40.350","80.57K","4.38%"
"03/31/2025","40.667","40.600","41.420","39.850","75.31K","0.20%"
"03/28/2025","40.587","41.300","41.350","40.250","72.98K","-1.49%"
"03/27/2025","41.202","40.750","41.640","40.350","95.01K","0.81%"
"03/26/2025","40.870","40.820","41.420","40.420","88.19K","-1.65%"
"03/25/2025","41.555","42.245","42.950","41.050","96.50K","-2.79%"
"03/24/2025","42.748","42.625","43.000","41.190","92.05K","0.34%"
"03/21/2025","42.605","44.440","45.495","42.000","118.44K","-0.58%"
"03/20/2025","42.855","43.900","44.330","42.650","105.23K","-1.15%"
"03/19/2025","43.355","41.290","43.985","41.290","125.83K","6.38%"
"03/18/2025","40.755","41.000","41.990","39.740","89.79K","-1.20%"
"03/17/2025","41.248","41.625","42.105","40.275","83.89K","-2.46%"
"03/14/2025","42.290","40.925","42.920","40.750","111.03K","0.51%"
"03/13/2025","42.076","41.900","43.650","40.145","129.06K","-0.42%"
"03/12/2025","42.254","41.550","43.445","41.210","110.62K","-1.07%"
"03/11/2025","42.710","41.225","43.735","40.775","103.58K","3.58%"
"03/10/2025","41.232","39.000","41.400","38.500","96.58K","3.15%"
"03/07/2025","39.971","37.720","41.580","36.400","175.88K","4.53%"
"03/06/2025","38.240","41.250","42.205","37.535","135.03K","-7.87%"
"03/05/2025","41.508","42.500","44.000","40.825","125.45K","-4.50%"
"03/04/2025","43.464","45.220","45.900","42.430","114.63K","-3.87%"
"03/03/2025","45.213","45.250","47.300","44.500","89.16K","2.01%"
"02/28/2025","44.320","45.650","46.645","44.000","90.23K","-1.36%"
"02/27/2025","44.930","41.050","45.450","41.000","60.60K","8.69%"
"02/26/2025","41.336","43.850","44.210","40.820","97.25K","-6.67%"
"02/25/2025","44.291","47.000","47.235","43.485","96.63K","-6.05%"
"02/24/2025","47.144","46.520","47.450","44.930","112.16K","-0.11%"
"02/21/2025","47.195","47.605","48.300","45.905","106.56K","-0.63%"
"02/20/2025","47.494","47.175","48.715","46.000","97.38K","-1.60%"
"02/19/2025","48.264","49.750","50.445","46.960","108.93K","-1.93%"
"02/18/2025","49.215","47.550","49.930","46.820","133.17K","2.24%"
"02/17/2025","48.136","49.880","50.985","47.560","86.40K","-5.03%"
"02/14/2025","50.685","50.450","51.650","48.390","133.79K","-1.36%"
"02/13/2025","51.383","54.500","54.560","50.500","148.47K","-7.69%"
"02/12/2025","55.661","56.300","57.050","54.140","123.74K","-3.64%"
"02/11/2025","57.766","57.770","59.390","56.205","113.36K","-0.47%"
"02/10/2025","58.039","57.000","58.750","56.675","104.12K","4.16%"
"02/07/2025","55.723","54.190","56.095","53.600","105.42K","2.24%"
"02/06/2025","54.502","53.750","55.455","53.450","116.16K","1.99%"
"02/05/2025","53.438","52.150","53.950","51.715","95.43K","2.67%"
"02/04/2025","52.048","53.400","53.445","51.290","107.49K","-3.25%"
"02/03/2025","53.794","54.395","54.805","52.790","101.90K","1.05%"
"01/31/2025","53.237","51.510","53.840","51.510","118.34K","2.92%"
"01/30/2025","51.726","51.100","52.650","50.435","62.12K","1.11%"
"01/29/2025","51.156","48.940","51.500","48.925","84.29K","6.08%"
"01/28/2025","48.224","48.370","48.830","47.785","72.11K","0.76%"
"01/27/2025","47.862","48.695","49.300","47.600","114.64K","-3.70%"
"01/24/2025","49.702","49.550","50.160","48.150","95.12K","1.18%"
"01/23/2025","49.123","49.420","50.475","48.525","96.35K","0.84%"
"01/22/2025","48.716","50.000","50.790","48.505","93.58K","-2.62%"
"01/21/2025","50.027","47.895","50.245","47.430","104.88K","4.54%"
"01/20/2025","47.853","46.795","48.075","46.065","88.83K","2.06%"
"01/17/2025","46.887","46.375","47.410","45.700","84.44K","1.40%"
"01/16/2025","46.241","46.700","46.700","45.645","74.91K","-1.63%"
"01/15/2025","47.006","47.400","47.955","46.415","94.66K","0.13%"
"01/14/2025","46.947","48.280","48.720","46.340","108.82K","-2.72%"
"01/13/2025","48.261","46.400","48.600","46.400","112.76K","7.23%"
"01/10/2025","45.008","45.005","45.880","43.175","119.22K","0.05%"
"01/09/2025","44.987","44.950","45.500","43.870","101.52K","-1.26%"
"01/08/2025","45.559","47.975","48.280","45.075","98.59K","-4.03%"
"01/07/2025","47.474","47.000","47.920","45.950","79.23K","0.31%"
"01/06/2025","47.326","49.395","49.395","46.925","89.34K","-4.63%"
"01/03/2025","49.622","49.975","50.400","49.355","62.45K","-1.29%"
"01/02/2025","50.273","50.555","51.000","48.550","85.75K","2.83%"